sensor_ID,sensor_type_ID,sensor_name,serial_number,x,y,elevation,spatial_precision,price,warranty,connection_ID,note,Height_Mesured_Layer_[mm],T1_depth_[mm],T2_depth_[mm],T3_depth_[mm],Measured_Depth_Layer_[mm],location,tree,spatial precision,T1 hloubka,T2 hloubka,T3 hloubka,vlhkost interval,instalace,povodi,transekt,vrt,X,Y
,TMS 4,KL II 3,94218432,-782526,-1034304,399,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,04.05.2021,KL,II,3,13.8555121539069,50.1157792216825
,TMS 4,KL III 2,94218434,-781775,-1034386,404,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,04.05.2021,KL,III,2,13.8660703464978,50.1160200230682
,TMS 4,KL I 6,94218435,-783324,-1034397,438,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,04.05.2021,KL,I,6,13.8446558676954,50.113919382263
,TMS 4,KL I 5,94218436,-783349,-1034177,428,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,04.05.2021,KL,I,5,13.8438670912423,50.115844710869
,TMS 4,KL III 3,94218437,-781844,-1034497,394,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,04.05.2021,KL,III,3,13.865338406125,50.1149431135054
,TMS 4,KL I 4,94218438,-783360,-1034059,424,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,04.05.2021,KL,I,4,13.843477334114,50.1168805028593
,TMS 4,KL I 7,94218439,-783341,-1034630,437,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,04.05.2021,KL,I,7,13.8448895541,50.1118240117267
,TMS 4,KL II 2,942184433,-782579,-1034091,428,,,,,"",,,,,,,,souranice_vrtu,-30,-22,interval 0 aû +20cm,< -22;-36 >,04.05.2021,KL,II,2,13.854350346335,50.1176061272891
,"",BP II 4,,-782373,-1036231,421,,,,,zatÌm neosazeno,,,,,,,,souranice_vrtu,,,"","","",BP,II,4,13.8615021074017,50.0988289444952
,"",BP II 4,,-782373,-1036231,421,,,,,zatÌm neosazeno,,,,,,,,souranice_vrtu,,,"","","",BP,II,4,13.8615021074017,50.0988289444952
,"",BP II 4,,-782373,-1036231,421,,,,,zatÌm neosazeno,,,,,,,,souranice_vrtu,,,"","","",BP,II,4,13.8615021074017,50.0988289444952
